,Alt MAC,B cell,Cl MAC,Cl Mo,DCs cell,Int Mo,Mast cell,Neutrophils,NK cell,Non-Cl Mo,Tc,Th,T other,Treg
D001,0.0602189781021898,0.0194647201946472,0.155109489051095,0.108272506082725,0.000608272506082725,0.0109489051094891,0.0145985401459854,0.0693430656934307,0.00121654501216545,0.0407542579075426,0.177615571776156,0.253649635036496,0.0200729927007299,0.0681265206812652
D002,0.0331664580725907,0.065081351689612,0.271589486858573,0.0262828535669587,0.00876095118898623,0.00375469336670839,0.0225281602002503,0.0212765957446809,0.00125156445556946,0.0619524405506884,0.224655819774718,0.226533166458073,0.00625782227784731,0.0269086357947434
D003,0.037529319781079,0.0985144644253323,0.27130570758405,0.0430023455824863,0.00312744331508991,0.00234558248631744,0.0109460516028147,0.126661454261142,0.00390930414386239,0.0258014073494918,0.071931196247068,0.243940578577013,0.0109460516028147,0.0500390930414386
D004,0.0512195121951219,0.0963414634146341,0.142073170731707,0.110975609756098,0.00121951219512195,0.00670731707317073,0.00121951219512195,0.0115853658536585,0.00121951219512195,0.0201219512195122,0.31890243902439,0.157926829268293,0.0548780487804878,0.025609756097561
D005,0.0913173652694611,0.201097804391218,0.149201596806387,0.0838323353293413,0.00349301397205589,0.0104790419161677,0.0219560878243513,0.0144710578842315,0.00499001996007984,0.00998003992015968,0.152195608782435,0.230538922155689,0.0029940119760479,0.0234530938123752
D006,0.114942528735632,0.0255427841634738,0.329501915708812,0.086845466155811,0.00127713920817369,0.00638569604086846,0.00893997445721584,0.11749680715198,0.00255427841634738,0.0191570881226054,0.0881226053639847,0.14176245210728,0.0434227330779055,0.0140485312899106
D007,0.255569306930693,0.00804455445544554,0.155321782178218,0.298886138613861,0.000618811881188119,0.0222772277227723,0.000618811881188119,0.100866336633663,0.000618811881188119,0.00680693069306931,0.025990099009901,0.0866336633663366,0.0198019801980198,0.0179455445544554
D008,0.0756345177664975,0.0604060913705584,0.109137055837563,0.153299492385787,0.00050761421319797,0.0218274111675127,0.0131979695431472,0.0609137055837563,0.00304568527918782,0.0050761421319797,0.196446700507614,0.227918781725888,0.0461928934010152,0.0263959390862944
D009,0.0532983835736129,0.0196592398427261,0.183923110528615,0.0336391437308868,0.00786369593709043,0.0297072957623416,0.0262123197903014,0.0270860637833115,0.0017474879860201,0.0637833114897335,0.202708606378331,0.287024901703801,0.0144167758846658,0.0489296636085627
D010,0.0780487804878049,0.0617886178861789,0.258536585365854,0.0747967479674797,0.0032520325203252,0,0.0471544715447154,0.0227642276422764,0.0032520325203252,0.0260162601626016,0.159349593495935,0.201626016260163,0.0195121951219512,0.0439024390243902
D011,0.0371352785145889,0.00530503978779841,0.519893899204244,0.00928381962864721,0.0013262599469496,0.0013262599469496,0,0,0.0013262599469496,0.0384615384615385,0.212201591511936,0.110079575596817,0.0278514588859416,0.0358090185676393
D012,0.204697986577181,0.00838926174496644,0.144295302013423,0.0721476510067114,0.0167785234899329,0.0100671140939597,0,0.0687919463087248,0.0855704697986577,0.00167785234899329,0.152684563758389,0.201342281879195,0.00503355704697987,0.0285234899328859
D013,0.0534883720930233,0.100232558139535,0.0951162790697674,0.0932558139534884,0.00325581395348837,0.0118604651162791,0.00906976744186046,0.0553488372093023,0.000232558139534884,0.017906976744186,0.0753488372093023,0.433023255813954,0.0148837209302326,0.0369767441860465
D014,0.0229885057471264,0.00164203612479475,0.625615763546798,0.00328407224958949,0,0,0.00821018062397373,0.100164203612479,0.00656814449917898,0.0328407224958949,0.0656814449917898,0.0821018062397373,0.0426929392446634,0.00821018062397373
D015,0.0305084745762712,0.0779661016949153,0.366101694915254,0.088135593220339,0.00338983050847458,0,0.0203389830508475,0.0169491525423729,0.0169491525423729,0.00677966101694915,0.152542372881356,0.128813559322034,0.0644067796610169,0.0271186440677966
D016,0.0304062271953296,0.0072974945268791,0.235952323035758,0.542203843347117,0.000243249817562637,0.00875699343225493,0,0.00145949890537582,0.00243249817562637,0.000972999270250547,0.0972999270250547,0.0503527122354658,0.0128922403308198,0.00972999270250547
D017,0.0185185185185185,0,0.820987654320988,0,0,0,0,0.037037037037037,0.037037037037037,0.0123456790123457,0.0185185185185185,0.0493827160493827,0.00617283950617284,0
D018,0.185053380782918,0.00355871886120996,0.366548042704626,0.0213523131672598,0,0,0.0106761565836299,0.0533807829181495,0.00711743772241993,0.00355871886120996,0.128113879003559,0.117437722419929,0.0782918149466192,0.0249110320284698
D019,0.0585365853658537,0.0341463414634146,0.24390243902439,0,0,0,0.0780487804878049,0.00975609756097561,0.0341463414634146,0.00975609756097561,0.131707317073171,0.268292682926829,0.0487804878048781,0.0829268292682927
