"","Alt MAC","B cell","Cancer","Cl MAC","Cl Mo","DCs cell","Endothelial cell","Int Mo","Mast cell","Neutrophils","NK cell","Non-Cl Mo","Tc","Th","T other","Treg"
"D001",0.0246575342465753,0.00797011207970112,0.461519302615193,0.0635118306351183,0.0443337484433375,0.00024906600249066,0.129016189290162,0.00448318804483188,0.00597758405977584,0.0283935242839352,0.00049813200498132,0.0166874221668742,0.0727272727272727,0.103860523038605,0.00821917808219178,0.0278953922789539
"D002",0.0173372587504089,0.0340202813215571,0.393850179914949,0.141969250899575,0.013738959764475,0.00457965325482499,0.0834151128557409,0.00196270853778214,0.0117762512266928,0.0111220150474321,0.000654236179260713,0.0323846908734053,0.117435394177298,0.118416748446189,0.00327118089630357,0.0140660778541053
"D003",0.0166147455867082,0.043613707165109,0.489096573208723,0.120110764970578,0.0190377293181032,0.00138456213222568,0.0681896850121149,0.00103842159916926,0.00484596746278989,0.0560747663551402,0.0017307026652821,0.0114226375908619,0.0318449290411907,0.107995846313603,0.00484596746278989,0.0221529941156109
"D004",0.0202312138728324,0.0380539499036609,0.497591522157996,0.0561175337186898,0.0438342967244701,0.000481695568400771,0.107418111753372,0.00264932562620424,0.000481695568400771,0.00457610789980732,0.000481695568400771,0.00794797687861272,0.125963391136802,0.0623795761078998,0.0216763005780347,0.0101156069364162
"D005",0.0488912636922255,0.107667646273043,0.273043013625434,0.0798824472348384,0.0448837830617152,0.00187015762757147,0.191557574138392,0.0056104728827144,0.0117552765161635,0.00774779588565322,0.00267165375367352,0.00534330750734705,0.0814854394870425,0.123430403419717,0.00160299225220411,0.0125567726422656
"D006",0.0312717164697707,0.00694927032661571,0.655663655316192,0.0896455872133426,0.0236275191104934,0.000347463516330785,0.0722724113968033,0.00173731758165393,0.0024322446143155,0.0319666435024322,0.000694927032661571,0.00521195274496178,0.0239749826268242,0.0385684503127172,0.0118137595552467,0.00382209867963864
"D007",0.140859481582538,0.00443383356070941,0.410300136425648,0.0856070941336971,0.164733969986357,0.00034106412005457,0.0385402455661664,0.0122783083219645,0.00034106412005457,0.055593451568895,0.00034106412005457,0.00375170532060027,0.014324693042292,0.0477489768076398,0.0109140518417462,0.00989085948158254
"D008",0.0405662945820855,0.0323985842635448,0.373536618567928,0.058535257282875,0.0822216172066431,0.000272257010618023,0.0901170705145657,0.011707051456575,0.00707868227606861,0.0326708412741628,0.00163354206370814,0.00272257010618023,0.105363463109175,0.122243397767493,0.0247753879662401,0.0141573645521372
"D009",0.0383647798742138,0.0141509433962264,0.180817610062893,0.132389937106918,0.0242138364779874,0.00566037735849057,0.0993710691823899,0.0213836477987421,0.0188679245283019,0.0194968553459119,0.00125786163522013,0.0459119496855346,0.145911949685535,0.206603773584906,0.010377358490566,0.0352201257861635
"D010",0.0137693631669535,0.0109007458405049,0.72346528973035,0.0456110154905336,0.0131956397016638,0.00057372346528973,0.100114744693058,0,0.00831899024670109,0.00401606425702811,0.00057372346528973,0.00458978772231784,0.0281124497991968,0.0355708548479633,0.00344234079173838,0.00774526678141136
"D011",0.00748663101604278,0.00106951871657754,0.755347593582888,0.104812834224599,0.0018716577540107,0.000267379679144385,0.043048128342246,0.000267379679144385,0,0,0.000267379679144385,0.00775401069518717,0.0427807486631016,0.022192513368984,0.00561497326203209,0.0072192513368984
"D012",0.101328903654485,0.00415282392026578,0.421926910299003,0.0714285714285714,0.0357142857142857,0.00830564784053156,0.0830564784053156,0.00498338870431894,0,0.0340531561461794,0.042358803986711,0.000830564784053156,0.0755813953488372,0.0996677740863787,0.00249169435215947,0.0141196013289037
"D013",0.0444186944766319,0.0832367709540363,0.115874855156431,0.0789880262649672,0.0774430281962147,0.00270374662031672,0.0536886828891464,0.00984936268829664,0.00753186558516802,0.0459636925453843,0.000193124758594052,0.014870606411742,0.0625724217844728,0.359598300502124,0.0123599845500193,0.0307068366164542
"D014",0.00511695906432749,0.000365497076023392,0.739035087719298,0.139254385964912,0.000730994152046784,0,0.0383771929824561,0,0.00182748538011696,0.0222953216374269,0.00146198830409357,0.00730994152046784,0.0146198830409357,0.0182748538011696,0.00950292397660819,0.00182748538011696
"D015",0.0154905335628227,0.0395869191049914,0.275387263339071,0.185886402753873,0.044750430292599,0.00172117039586919,0.216867469879518,0,0.0103270223752151,0.00860585197934595,0.00860585197934595,0.00344234079173838,0.0774526678141136,0.0654044750430293,0.0327022375215146,0.0137693631669535
"D016",0.0271267361111111,0.00651041666666667,0.0813802083333333,0.210503472222222,0.483723958333333,0.000217013888888889,0.0264756944444444,0.0078125,0,0.00130208333333333,0.00217013888888889,0.000868055555555556,0.0868055555555556,0.044921875,0.0115017361111111,0.00868055555555556
"D017",0.00125944584382872,0,0.907220822837951,0.0558354324097397,0,0,0.0247691015952981,0,0,0.00251889168765743,0.00251889168765743,0.000839630562552477,0.00125944584382872,0.00335852225020991,0.000419815281276238,0
"D018",0.0261306532663317,0.00050251256281407,0.774371859296482,0.0517587939698492,0.00301507537688442,0,0.0844221105527638,0,0.00150753768844221,0.00753768844221105,0.00100502512562814,0.00050251256281407,0.0180904522613065,0.0165829145728643,0.0110552763819095,0.00351758793969849
"D019",0.00830449826989619,0.00484429065743945,0.822837370242214,0.0346020761245675,0,0,0.0352941176470588,0,0.0110726643598616,0.0013840830449827,0.00484429065743945,0.0013840830449827,0.0186851211072664,0.0380622837370242,0.0069204152249135,0.0117647058823529
"D020",0.087037037037037,0.0138888888888889,0.312037037037037,0.0537037037037037,0.0277777777777778,0.000925925925925926,0.0490740740740741,0.012037037037037,0.00462962962962963,0.05,0,0.0361111111111111,0.230555555555556,0.0722222222222222,0.0203703703703704,0.0296296296296296
"D021",0.00573491928632116,0.0193288020390824,0.638487680543755,0.0254885301614274,0.00594732370433305,0.000424808836023789,0.0431180968564146,0.0129566694987256,0.000212404418011895,0.00424808836023789,0.000849617672047579,0.00509770603228547,0.12892948173322,0.0894222599830077,0.0108326253186066,0.00892098555649957
"D022",0.015995429877178,0.0508426163953156,0.462153670379891,0.185661239645815,0.0191373893173379,0,0.0876892316481005,0.00285632676378178,0.000856898029134533,0.0131391031133962,0.00228506141102542,0.0051413881748072,0.0479862896315338,0.0911168237646387,0.0148528991716652,0.000285632676378178
"D023",0.01252408477842,0.00385356454720617,0.429511881824021,0.0738599871547848,0.0202312138728324,0,0.0444765574823378,0.00513808606294155,0.000160565189466924,0.345054592164419,0.00112395632626846,0.000802825947334618,0.0394990366088632,0.0117212588310854,0.00513808606294155,0.00690430314707771
"D024",0.0720524017467249,0.0597459309249702,0.149464073044859,0.0968638348551012,0.0416832076220722,0.0125049622866217,0.0984517665740373,0.0158793171893609,0.0119094878920206,0.0393013100436681,0.00218340611353712,0.0244144501786423,0.216554188169909,0.11750694720127,0.0103215561730846,0.0311631599841207
"D025",0.0622944830105955,0.020460358056266,0.218304713189624,0.0739861161856047,0.0948118377785897,0.00474972597734746,0.182133723054439,0.00767263427109974,0.00767263427109974,0.0160759956156376,0.000365363536719035,0.00438436244062843,0.100840336134454,0.158750456704421,0.0082206795761783,0.0392765801972963
